[2025-07-27 16:21:27.279] [info] Using configuration file /home/dxth/.config/waybar/config.jsonc
[2025-07-27 16:21:27.279] [info] Including resource file: ~/.config/waybar/modules.json
[2025-07-27 16:21:27.279] [info] Unable to receive desktop appearance: GDBus.Error:org.freedesktop.DBus.Error.ServiceUnknown: The name org.freedesktop.portal.Desktop was not provided by any .service files
[2025-07-27 16:21:27.279] [info] Using CSS file /home/dxth/.config/waybar/style.css
[2025-07-27 16:21:27.282] [info] Hyprland IPC starting
[2025-07-27 16:21:27.282] [info] Loading persistent workspaces from Hyprland workspace rules
[2025-07-27 16:21:27.294] [info] Loading persistent workspaces from Hyprland workspace rules
[2025-07-27 16:21:27.302] [info] Bar configured (width: 1440, height: 42) for output: DP-3
[2025-07-27 16:21:27.302] [info] Bar configured (width: 1920, height: 42) for output: HDMI-A-1
[2025-07-27 16:29:52.092] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 44 not found
[2025-07-27 16:29:52.092] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 44 not found
[2025-07-27 16:30:05.366] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 44 not found
[2025-07-27 16:30:05.367] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 44 not found
[2025-07-27 16:30:05.370] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 44 not found
[2025-07-27 16:30:05.370] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 44 not found
[2025-07-27 16:30:05.372] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 44 not found
[2025-07-27 16:30:05.372] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 44 not found
[2025-07-27 16:30:05.372] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 44 not found
[2025-07-27 16:30:05.372] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 44 not found
[2025-07-27 16:30:07.433] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 72 not found
[2025-07-27 16:30:07.433] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 72 not found
[2025-07-27 16:30:07.438] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 72 not found
[2025-07-27 16:30:07.438] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 72 not found
[2025-07-27 16:30:07.441] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 72 not found
[2025-07-27 16:30:07.441] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 72 not found
[2025-07-27 16:30:07.441] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 72 not found
[2025-07-27 16:30:07.441] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 72 not found
[2025-07-27 16:30:41.498] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 44 not found
[2025-07-27 16:30:41.498] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 44 not found
[2025-07-27 16:30:41.502] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 44 not found
[2025-07-27 16:30:41.503] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 44 not found
[2025-07-27 16:30:41.505] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 44 not found
[2025-07-27 16:30:41.505] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 44 not found
[2025-07-27 16:30:41.505] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 44 not found
[2025-07-27 16:30:41.505] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 44 not found
[2025-07-28 11:31:20.221] [info] Using configuration file /home/dxth/.config/waybar/config.jsonc
[2025-07-28 11:31:20.222] [info] Including resource file: ~/.config/waybar/modules.json
[2025-07-28 11:31:20.222] [info] Unable to receive desktop appearance: GDBus.Error:org.freedesktop.DBus.Error.ServiceUnknown: The name org.freedesktop.portal.Desktop was not provided by any .service files
[2025-07-28 11:31:20.222] [info] Using CSS file /home/dxth/.config/waybar/style.css
[2025-07-28 11:31:20.225] [info] Hyprland IPC starting
[2025-07-28 11:31:20.225] [info] Loading persistent workspaces from Hyprland workspace rules
[2025-07-28 11:31:20.237] [info] Loading persistent workspaces from Hyprland workspace rules
[2025-07-28 11:31:20.245] [info] Bar configured (width: 1440, height: 42) for output: DP-3
[2025-07-28 11:31:20.245] [info] Bar configured (width: 1920, height: 42) for output: HDMI-A-1
[2025-07-28 11:33:17.229] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 67 not found
[2025-07-28 11:33:17.229] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 67 not found
[2025-07-28 11:33:17.232] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 67 not found
[2025-07-28 11:33:17.232] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 67 not found
[2025-07-28 11:33:17.235] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 67 not found
[2025-07-28 11:33:17.235] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 67 not found
[2025-07-28 11:33:17.235] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 67 not found
[2025-07-28 11:33:17.235] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 67 not found
[2025-07-28 11:33:29.647] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 72 not found
[2025-07-28 11:33:29.647] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 72 not found
[2025-07-28 11:33:29.652] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 72 not found
[2025-07-28 11:33:29.652] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 72 not found
[2025-07-28 11:33:29.654] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 72 not found
[2025-07-28 11:33:29.654] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 72 not found
